"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Russia",2014,-0.00915626745185705,-0.175116948886151,0.1718569220199,"-0.9%","-17.5%","17.2%"
"Saudi Arabia",2014,0.0467148133269055,-0.176962735832736,0.3005133001012,"4.7%","-17.7%","30.1%"
"South Africa",2014,-0.0803697359154344,-0.242761622022713,0.0967768537587546,"-8%","-24.3%","9.7%"
"Australia",2015,0.0717540681288709,-0.31109549110545,0.546835319391789,"7.2%","-31.1%","54.7%"
"China",2015,-0.321278139675586,-0.40528735767876,-0.233612711250617,"-32.1%","-40.5%","-23.4%"
"Europe",2015,-0.0148928318553775,-0.250098047026152,0.252281281567691,"-1.5%","-25%","25.2%"
"India",2015,0.0324464236208222,-0.13889083588433,0.219584214027279,"3.2%","-13.9%","22%"
"Mexico",2015,0.0481312740994144,-0.169579461302048,0.292000829911921,"4.8%","-17%","29.2%"
"Russia",2015,-0.0110665883989476,-0.183286199944046,0.177075215765642,"-1.1%","-18.3%","17.7%"
"Saudi Arabia",2015,0.0584535448756505,-0.153650117061399,0.296143800032533,"5.8%","-15.4%","29.6%"
"South Africa",2015,0.176262862205046,-0.0335871248761254,0.408194081579545,"17.6%","-3.4%","40.8%"
"Australia",2016,-0.197943608696467,-0.526159790271882,0.191657539493833,"-19.8%","-52.6%","19.2%"
"China",2016,-0.215105197935124,-0.341140758107067,-0.0804526215003931,"-21.5%","-34.1%","-8%"
"Europe",2016,-0.191281108089626,-0.414389383246612,0.05925911704287,"-19.1%","-41.4%","5.9%"
"India",2016,0.201064595136685,0.0160684065933032,0.404614481706268,"20.1%","1.6%","40.5%"
"Mexico",2016,0.26034001273066,0.0273886088770294,0.524161890823283,"26%","2.7%","52.4%"
"Russia",2016,0.00922673718620759,-0.165139721073749,0.201553621411488,"0.9%","-16.5%","20.2%"
"Saudi Arabia",2016,0.335850103990324,0.0983470376380382,0.602516395351421,"33.6%","9.8%","60.3%"
"South Africa",2016,-0.142933667697771,-0.293594595331328,0.0224501798035259,"-14.3%","-29.4%","2.2%"
"Australia",2017,0.0658842373233781,-0.388798610806313,0.662508763823442,"6.6%","-38.9%","66.3%"
"China",2017,-0.33797489740157,-0.486289479515696,-0.178242705823439,"-33.8%","-48.6%","-17.8%"
"Europe",2017,0.12675252937165,-0.189479626959762,0.50431551619429,"12.7%","-18.9%","50.4%"
"India",2017,-0.0375605102889135,-0.176840165570986,0.112488992199703,"-3.8%","-17.7%","11.2%"
"Mexico",2017,-0.225709368832678,-0.365298469327409,-0.0745480885928061,"-22.6%","-36.5%","-7.5%"
"Russia",2017,-0.0567865083512008,-0.223842235178169,0.125213369056537,"-5.7%","-22.4%","12.5%"
"Saudi Arabia",2017,0.081666707489042,-0.0848252546492836,0.26369811484706,"8.2%","-8.5%","26.4%"
"South Africa",2017,0.0619590511233379,-0.122697747962373,0.265211065830817,"6.2%","-12.3%","26.5%"
"Australia",2018,-0.0495195028614132,-0.455418576155884,0.463098850626801,"-5%","-45.5%","46.3%"
"China",2018,-0.17957548085029,-0.414785954485058,0.0872686722242384,"-18%","-41.5%","8.7%"
"Europe",2018,-0.152549372781189,-0.399699186881244,0.129891276578087,"-15.3%","-40%","13%"
"India",2018,0.00510748079193224,-0.141118828203066,0.163264088072566,"0.5%","-14.1%","16.3%"
"Mexico",2018,-0.0654687752234879,-0.254137015874248,0.14294584744512,"-6.5%","-25.4%","14.3%"
"Russia",2018,-0.0589235507203056,-0.238288069444035,0.138457605845789,"-5.9%","-23.8%","13.8%"
"Saudi Arabia",2018,-0.23200069449427,-0.361208802533187,-0.0935111167666185,"-23.2%","-36.1%","-9.4%"
"South Africa",2018,-0.0344075951167159,-0.206361779055945,0.153483777411801,"-3.4%","-20.6%","15.3%"
"Australia",2019,0.0947867692805759,-0.363221850603404,0.692243372249026,"9.5%","-36.3%","69.2%"
"China",2019,-0.136435253087236,-0.425769715230258,0.202841251844885,"-13.6%","-42.6%","20.3%"
"Europe",2019,0.260942404748556,-0.0930850408653683,0.689074594419182,"26.1%","-9.3%","68.9%"
"India",2019,0.0906634423469153,-0.0618275167449146,0.255718069875568,"9.1%","-6.2%","25.6%"
"Mexico",2019,-0.0710989992727243,-0.274094147047838,0.155123424212664,"-7.1%","-27.4%","15.5%"
"Russia",2019,-0.0021661822114607,-0.204728812425095,0.22213511261987,"-0.2%","-20.5%","22.2%"
"Saudi Arabia",2019,0.12091810403632,-0.0746763207542748,0.33782307235846,"12.1%","-7.5%","33.8%"
"South Africa",2019,0.0303877426213224,-0.152196244795018,0.23250935055541,"3%","-15.2%","23.3%"
"Australia",2020,-0.120872785300771,-0.51597717668489,0.368487813204362,"-12.1%","-51.6%","36.8%"
"China",2020,0.115870857900918,-0.262539419621165,0.58200724977582,"11.6%","-26.3%","58.2%"
"Europe",2020,-0.156932480421801,-0.407653377898806,0.126137047630462,"-15.7%","-40.8%","12.6%"
"India",2020,-0.135542481470528,-0.268285208908389,0.00592073599557374,"-13.6%","-26.8%","0.6%"
"Mexico",2020,0.230935749223656,-0.0249616683281376,0.523232496982181,"23.1%","-2.5%","52.3%"
"Russia",2020,0.0631721027604868,-0.149648026990126,0.302531518659877,"6.3%","-15%","30.3%"
"Saudi Arabia",2020,-0.186049248054986,-0.338906931680673,-0.0206000332606726,"-18.6%","-33.9%","-2.1%"
"South Africa",2020,0.00395430994490509,-0.181710815813347,0.206236015690689,"0.4%","-18.2%","20.6%"
